vriSection_1_dict_0;funcPurposeParking
vriSection_1_dict_0;funcPurposeAutoTechCenter
vriSection_1_dict_0;funcPurposeApartments
vriSection_1_dict_0;funcPurposeExhibitionBuilding
vriSection_1_dict_0;funcPurposeExhibitionComplex
vriSection_1_dict_0;funcPurposeLogisticsComplex
vriSection_1_dict_0;funcPurposeMultiFunctionalComplex
vriSection_1_dict_0;funcPurposeFireDepartment
vriSection_1_dict_0;funcPurposeOtherCommercialFacility
vriSection_1_dict_0;funcPurposeOtherSocialFacility
vriSection_1_dict_0;funcPurposeEntertainmentComplex
vriSection_1_dict_0;funcPurposeTownhouse
vriSection_1_dict_0;funcPurposeTradeBuilding
vriSection_1_dict_0;funcPurposeTradeEntertainmentBuilding
vriSection_1_dict_0;funcPurposeTradeComplex
vriSection_1_dict_0;funcPurposeOtherHealthCare
vriSection_1_dict_0;funcPurposePolyclinic
vriSection_1_dict_0;funcPurposeHospital
vriSection_1_dict_0;funcPurposeWarehouse
vriSection_1_dict_0;funcPurposeSport
vriSection_1_dict_0;funcPurposeSchool
vriSection_1_dict_0;funcPurposeKindergarten
vriSection_1_dict_0;funcPurposeResidentialComplexWithApartments
vriSection_1_dict_0;funcPurposeResidentialComplex
vriSection_1_dict_0;funcPurposeComplexDevelopment
vriSection_1_dict_0;funcPurposeLivingBuilding
vriSection_1_dict_0;funcPurposeOfficeBuilding
vriSection_1_dict_0;funcPurposeOfficeComplexWithApartments
vriSection_1_dict_0;funcPurposeOfficeComplex
vriSection_1_dict_0;funcPurposeHotel
vriSection_1_dict_0;funcPurposeCottage
vriSection_1_dict_0;funcPurposeIndividualHousing
vriSection_1_dict_0;funcPurposeProductionActivity
vriSection_1_dict_0;funcPurposeEngineeringInfrastructure
vriSection_1_dict_0;funcPurposeTransportInfrastructure
vriSection_1_dict_1;funcPurposeParking
vriSection_1_dict_1;funcPurposeAutoTechCenter
vriSection_1_dict_1;funcPurposeApartments
vriSection_1_dict_1;funcPurposeExhibitionBuilding
vriSection_1_dict_1;funcPurposeExhibitionComplex
vriSection_1_dict_1;funcPurposeLogisticsComplex
vriSection_1_dict_1;funcPurposeMultiFunctionalComplex
vriSection_1_dict_1;funcPurposeFireDepartment
vriSection_1_dict_1;funcPurposeOtherCommercialFacility
vriSection_1_dict_1;funcPurposeOtherSocialFacility
vriSection_1_dict_1;funcPurposeEntertainmentComplex
vriSection_1_dict_1;funcPurposeTownhouse
vriSection_1_dict_1;funcPurposeTradeBuilding
vriSection_1_dict_1;funcPurposeTradeEntertainmentBuilding
vriSection_1_dict_1;funcPurposeTradeComplex
vriSection_1_dict_1;funcPurposeOtherHealthCare
vriSection_1_dict_1;funcPurposePolyclinic
vriSection_1_dict_1;funcPurposeHospital
vriSection_1_dict_1;funcPurposeWarehouse
vriSection_1_dict_1;funcPurposeSport
vriSection_1_dict_1;funcPurposeSchool
vriSection_1_dict_1;funcPurposeKindergarten
vriSection_1_dict_1;funcPurposeResidentialComplexWithApartments
vriSection_1_dict_1;funcPurposeResidentialComplex
vriSection_1_dict_1;funcPurposeComplexDevelopment
